,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
1731,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,Unspecified BROOKLYN,Street Condition,2009-03-26T00:00:00.000,,,Wear & Tear,,N/A,,,KINGS HIGHWAY,EAST 34 STREET,,BROOKLYN,Unspecified,2009-03-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,13467983
1732,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-16T00:00:00.000,Unspecified QUEENS,Street Condition,2009-03-31T00:00:00.000,,,Pothole,,N/A,,,ALDERTON STREET,ELLWELL CRESCENT,,QUEENS,Unspecified,2009-04-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13475426
1733,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-03-31T00:00:00.000,Unspecified QUEENS,Street Condition,2009-03-30T00:00:00.000,BODY OF WATER,VAN WYCK EXPRESSWAY,Pothole,,N/A, ROOSEVELT AVENUE,,,,,QUEENS,Unspecified,2009-03-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ROOSEVELT AVENUE,13482740
1734,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-03-31T00:00:00.000,Unspecified QUEENS,Street Condition,2009-03-30T00:00:00.000,WHITESTONE EXPRESSWAY,WHITESTONE EXPRESSWAY,Pothole,,N/A, COLLEGE POINT BOULEVARD,,,,,QUEENS,Unspecified,2009-03-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,COLLEGE POINT BOULEVARD,13482741
1735,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2009-03-31T00:00:00.000,Unspecified MANHATTAN,Street Condition,2009-03-30T00:00:00.000,,,Pothole,,N/A,,,FULTON STREET,WATER STREET,,MANHATTAN,Unspecified,2009-03-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13475152
1736,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-03-31T00:00:00.000,Unspecified QUEENS,Street Condition,2009-03-30T00:00:00.000,GRAND CENTRAL PARKWAY,GRAND CENTRAL PARKWAY,Pothole,,N/A, ASTORIA BOULEVARD,,,,,QUEENS,Unspecified,2009-03-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ASTORIA BOULEVARD,13482742
1737,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-04-01T00:00:00.000,Unspecified QUEENS,Street Condition,2009-03-31T00:00:00.000,MYRTLE AVENUE/PALMETTO STREET,MADISON STREET,Pothole,,N/A, MYRTLE AVENUE,,,,,QUEENS,Unspecified,2009-04-01T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,MYRTLE AVENUE,13487870
1738,BLOCKFACE,DOT,Department of Transportation,Unspecified,QUEENS,2009-03-31T00:00:00.000,0 Unspecified,Street Condition,2009-03-30T00:00:00.000,BROOKLYN QNS EXPRESSWAY,BKLYN QNS EXPRESSWAY EXIT NB,Pothole,,N/A, ASTORIA BOULEVARD,,,,,Unspecified,Unspecified,2009-03-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ASTORIA BOULEVARD,13482744
1739,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-10T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-03T00:00:00.000,,,Pothole,,N/A,,,170 STREET,LIBERTY AVENUE,,QUEENS,Unspecified,2009-04-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13495564
1740,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-08T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-03T00:00:00.000,,,Pothole,,N/A,,,107 STREET,ROCKAWAY BOULEVARD,,QUEENS,Unspecified,2009-04-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13495569
1741,,DOT,Department of Transportation,STATEN ISLAND,,2009-04-03T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2009-04-03T00:00:00.000,LIVERMORE AVE,CLINTON B FISK AVE,Failed Street Repair,2009-04-13T00:00:00.000,N/A, WATCHOGUE RD,,,,Street,STATEN ISLAND,Unspecified,2009-04-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WATCHOGUE RD,13490390
1742,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,2009-03-31T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-03-30T00:00:00.000,SHORE PARKWAY,SHORE PARKWAY,Pothole,,N/A, 26 AVENUE,,,,,BROOKLYN,Unspecified,2009-03-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,26 AVENUE,13482575
