,address_type,agency,agency_name,borough,bridge_highway_direction,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
6582,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-12-28T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-12-27T00:00:00.000,,,Pothole,N/A,,,PARK AVENUE,VANDERBILT AVENUE,,,BROOKLYN,Unspecified,2005-12-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3509705
6583,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,,16 BROOKLYN,Street Condition,2005-12-28T00:00:00.000,ATLANTIC AVENUE,HERKIMER STREET,Wear & Tear,N/A, JARDINE PLACE,11233,,,,,BROOKLYN,Unspecified,2005-12-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,JARDINE PLACE,3509986
6584,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-02-26T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-02-25T00:00:00.000,BROOKLYN QNS EXPRESSWAY,NORTH ELLIOTT PLACE,Pothole,N/A, PARK AVENUE,,,,,,BROOKLYN,Unspecified,2005-02-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PARK AVENUE,3496821
6585,BLOCKFACE,DOT,Department of Transportation,Unspecified,,BROOKLYN,2005-07-08T00:00:00.000,0 Unspecified,Street Condition,2005-07-07T00:00:00.000,AVENUE K,FLATLANDS AVENUE,Pothole,N/A, EAST 49 STREET,,,,,,Unspecified,Unspecified,2005-07-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 49 STREET,3506579
6586,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-08-17T00:00:00.000,14 BROOKLYN,Street Condition,2005-08-16T00:00:00.000,EAST 22 STREET,EAST 23 STREET,Pothole,N/A, GLENWOOD ROAD,11210,,,,,BROOKLYN,Unspecified,2005-08-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,GLENWOOD ROAD,3506072
6587,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-04-13T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-04-07T00:00:00.000,,,Pothole,N/A,,,3 AVENUE,68 STREET,,,BROOKLYN,Unspecified,2005-04-13T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3505267
6588,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-09-07T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-09-06T00:00:00.000,44 STREET,45 STREET,Pothole,N/A, 3 AVENUE,,,,,,BROOKLYN,Unspecified,2005-09-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,3 AVENUE,3506192
6589,BLOCKFACE,DOT,Department of Transportation,STATEN ISLAND,,STATEN ISLAND,2005-06-28T00:00:00.000,03 STATEN ISLAND,Street Condition,2005-06-27T00:00:00.000,PENN AVENUE,TYSENS LANE,Pothole,N/A, HYLAN BOULEVARD,10306,,,,,STATEN ISLAND,Unspecified,2005-06-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,HYLAN BOULEVARD,3618568
6590,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2005-09-05T00:00:00.000,Unspecified MANHATTAN,Street Condition,2005-08-18T00:00:00.000,,,Pothole,N/A,,,PARK AVENUE VIADUCT,EAST 32 STREET,,,MANHATTAN,Unspecified,2005-09-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3541699
6591,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2005-05-17T00:00:00.000,07 MANHATTAN,Street Condition,2005-05-14T00:00:00.000,BROADWAY,WEST END AVENUE,Pothole,N/A, WEST 97 STREET,10025,,,,,MANHATTAN,Unspecified,2005-05-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WEST 97 STREET,3540950
